,Symbol,Security Name
0,ALPA,Alpa Laboratories Limited
1,AMBER,Amber Enterprises (I) Ltd
2,ARIES,Aries Agro Limited
3,ASTRAMICRO,Astra Microwave Products
4,ATULAUTO,Atul Auto Limited
5,BAJAJHIND,Bajaj Hindustan Sugar Ltd
6,DBSTOCKBRO,DB (Int) Stock Brokers
7,DIL,Debock Industries Limited
8,DYNPRO,Dynemic Products Limited
9,GABRIEL,Gabriel India Ltd
10,GLOBALPET,Global Pet Industries Ltd
11,IBULHSGFIN,Indiabulls Hsg Fin Ltd
12,JIOFIN,Jio Fin Services Ltd
13,JPASSOCIAT,Jaiprakash Associates Lim
14,KDL,Kore Digital Limited
15,KFINTECH,Kfin Technologies Limited
16,KOPRAN,Kopran Ltd.
17,MADHAV,Madhav Marbles and Granit
18,ORIENTLTD,Orient Press Limited
19,PARAGMILK,Parag Milk Foods Ltd.
20,PARAS,Paras Def and Spce Tech L
21,PRAKASH,Prakash Industries Ltd.
22,RPOWER,Reliance Power Limited
23,SAHANA,Sahana System Limited
24,SCHAND,S Chand And Company Ltd
25,SONAHISONA,Sona Hi Sona Jewell G Ltd
26,SONUINFRA,Sonu Infratech Limited
27,TIL,TIL Ltd
28,URBAN,Urban Enviro Waste Mgmt L
29,VETO,Veto Switchgear Cable Ltd
30,VIRESCENT,Virescent Renewable Energ
31,VIVIDHA,Visagar Polytex Ltd
32,VSTTILLERS,VST Tillers Tractors Ltd
33,BAHETI,Baheti Recycling Ind Ltd
34,GISOLUTION,GI Engineering Solutions
35,GODHA,Godha Cabcon Insulat Ltd
36,UNOMINDA,UNO Minda Limited
37,VMARCIND,V Marc India Limited
