Date,Symbol,Security Name,Client Name,Buy/Sell,Quantity Traded,Trade Price / Wght. Avg. Price
28-AUG-2023,STAR,Strides Pharma ScienceLtd,MORGAN STANLEY ASIA (SINGAPORE) PTE. - ODI,BUY,230000,438.00
28-AUG-2023,ZOMATO,Zomato Limited,GIRIK WEALTH ADVISORS PRIVATE LIMITED,BUY,1109899,90.10
28-AUG-2023,ZOMATO,Zomato Limited,ICICI PRUDENTIAL LIFE INSURANCE COMPANY LTD.,BUY,4993954,90.10
28-AUG-2023,ZOMATO,Zomato Limited,AXIS MUTUAL FUND,BUY,7769001,90.10
28-AUG-2023,ZOMATO,Zomato Limited,MORGAN STANLEY ASIA SINGAPORE PTE,BUY,7009746,90.10
28-AUG-2023,ZOMATO,Zomato Limited,FOUNDERS COLLECTIVE FUND,BUY,2219001,90.10
28-AUG-2023,ZOMATO,Zomato Limited,SBI LIFE INSURANCE COMPANY LIMITED,BUY,7214001,90.10
28-AUG-2023,ZOMATO,Zomato Limited,SOCIETE GENERALE,BUY,1664845,90.10
28-AUG-2023,STAR,Strides Pharma ScienceLtd,SHASUN ENTERPRISES LLP,SELL,230000,438.00
28-AUG-2023,ZOMATO,Zomato Limited,APOLETTO ASIA LTD,SELL,31980447,90.10
